type,ground_truth,predicted_id,similarity,is_known,pose_angle,face_width,size_category
GENUINE,person_001,person_001,0.9147,True,0,140,LARGE
GENUINE,person_001,person_001,0.9077,True,0,80,MEDIUM
GENUINE,person_001,person_001,0.9158,True,0,45,SMALL
GENUINE,person_001,person_001,0.9169,True,0,25,VERY_SMALL
GENUINE,person_001,,0.4317,False,15,140,LARGE
GENUINE,person_001,,0.3924,False,15,80,MEDIUM
GENUINE,person_001,,0.3326,False,15,45,SMALL
GENUINE,person_001,,0.4005,False,15,25,VERY_SMALL
GENUINE,person_001,,0.2919,False,30,140,LARGE
GENUINE,person_001,,0.1537,False,30,80,MEDIUM
GENUINE,person_001,,0.2119,False,30,45,SMALL
GENUINE,person_001,,0.2265,False,30,25,VERY_SMALL
GENUINE,person_001,,0.1913,False,45,140,LARGE
GENUINE,person_001,,0.1536,False,45,80,MEDIUM
GENUINE,person_001,,0.1861,False,45,45,SMALL
GENUINE,person_001,,0.1116,False,45,25,VERY_SMALL
GENUINE,person_001,,0.0931,False,60,140,LARGE
GENUINE,person_001,,0.1179,False,60,80,MEDIUM
GENUINE,person_001,,0.1287,False,60,45,SMALL
GENUINE,person_001,,0.177,False,60,25,VERY_SMALL
GENUINE,person_001,,0.092,False,75,140,LARGE
GENUINE,person_001,,0.0895,False,75,80,MEDIUM
GENUINE,person_001,,0.1169,False,75,45,SMALL
GENUINE,person_001,,0.0769,False,75,25,VERY_SMALL
GENUINE,person_001,,0.0767,False,90,140,LARGE
GENUINE,person_001,,0.0604,False,90,80,MEDIUM
GENUINE,person_001,,0.0907,False,90,45,SMALL
GENUINE,person_001,,0.148,False,90,25,VERY_SMALL
GENUINE,person_002,person_002,0.9058,True,0,140,LARGE
GENUINE,person_002,person_002,0.9123,True,0,80,MEDIUM
GENUINE,person_002,person_002,0.9069,True,0,45,SMALL
GENUINE,person_002,person_002,0.9079,True,0,25,VERY_SMALL
GENUINE,person_002,,0.4118,False,15,140,LARGE
GENUINE,person_002,,0.3649,False,15,80,MEDIUM
GENUINE,person_002,,0.3887,False,15,45,SMALL
GENUINE,person_002,,0.2804,False,15,25,VERY_SMALL
GENUINE,person_002,,0.2054,False,30,140,LARGE
GENUINE,person_002,,0.2281,False,30,80,MEDIUM
GENUINE,person_002,,0.1948,False,30,45,SMALL
GENUINE,person_002,,0.2456,False,30,25,VERY_SMALL
GENUINE,person_002,,0.1475,False,45,140,LARGE
GENUINE,person_002,,0.2187,False,45,80,MEDIUM
GENUINE,person_002,,0.1596,False,45,45,SMALL
GENUINE,person_002,,0.1531,False,45,25,VERY_SMALL
GENUINE,person_002,,0.0956,False,60,140,LARGE
GENUINE,person_002,,0.1409,False,60,80,MEDIUM
GENUINE,person_002,,0.0825,False,60,45,SMALL
GENUINE,person_002,,0.0939,False,60,25,VERY_SMALL
GENUINE,person_002,,0.0958,False,75,140,LARGE
GENUINE,person_002,,0.133,False,75,80,MEDIUM
GENUINE,person_002,,0.177,False,75,45,SMALL
GENUINE,person_002,,0.0885,False,75,25,VERY_SMALL
GENUINE,person_002,,0.1963,False,90,140,LARGE
GENUINE,person_002,,0.0951,False,90,80,MEDIUM
GENUINE,person_002,,0.0803,False,90,45,SMALL
GENUINE,person_002,,0.0526,False,90,25,VERY_SMALL
GENUINE,person_003,person_003,0.9142,True,0,140,LARGE
GENUINE,person_003,person_003,0.9045,True,0,80,MEDIUM
GENUINE,person_003,person_003,0.9125,True,0,45,SMALL
GENUINE,person_003,person_003,0.914,True,0,25,VERY_SMALL
GENUINE,person_003,,0.3898,False,15,140,LARGE
GENUINE,person_003,,0.4314,False,15,80,MEDIUM
GENUINE,person_003,,0.4415,False,15,45,SMALL
GENUINE,person_003,,0.4412,False,15,25,VERY_SMALL
GENUINE,person_003,,0.202,False,30,140,LARGE
GENUINE,person_003,,0.1772,False,30,80,MEDIUM
GENUINE,person_003,,0.2366,False,30,45,SMALL
GENUINE,person_003,,0.2714,False,30,25,VERY_SMALL
GENUINE,person_003,,0.1297,False,45,140,LARGE
GENUINE,person_003,,0.2092,False,45,80,MEDIUM
GENUINE,person_003,,0.1843,False,45,45,SMALL
GENUINE,person_003,,0.1813,False,45,25,VERY_SMALL
GENUINE,person_003,,0.1407,False,60,140,LARGE
GENUINE,person_003,,0.0601,False,60,80,MEDIUM
GENUINE,person_003,,0.1819,False,60,45,SMALL
GENUINE,person_003,,0.1316,False,60,25,VERY_SMALL
GENUINE,person_003,,0.1007,False,75,140,LARGE
GENUINE,person_003,,0.0735,False,75,80,MEDIUM
GENUINE,person_003,,0.1662,False,75,45,SMALL
GENUINE,person_003,,0.0262,False,75,25,VERY_SMALL
GENUINE,person_003,,0.0389,False,90,140,LARGE
GENUINE,person_003,,0.0738,False,90,80,MEDIUM
GENUINE,person_003,,0.0576,False,90,45,SMALL
GENUINE,person_003,,0.1694,False,90,25,VERY_SMALL
