image,ground_truth,similarity,recognized,correct,det_score,note,threshold,identity,experiment
ram_10.jpg,impostor,0.2870,NO,YES,0.8607,,0.5,Satish,R0
ram_11.jpg,impostor,0.2808,NO,YES,0.8146,,0.5,Satish,R0
ram_12.jpg,impostor,0.2589,NO,YES,0.8081,,0.5,Satish,R0
ram_13.jpg,impostor,0.2216,NO,YES,0.7945,,0.5,Satish,R0
ram_14.jpg,impostor,0.2313,NO,YES,0.8115,,0.5,Satish,R0
ram_15.jpg,impostor,0.1749,NO,YES,0.7963,,0.5,Satish,R0
ram_3.jpg,impostor,0.2174,NO,YES,0.8063,,0.5,Satish,R0
ram_4.jpg,impostor,0.2384,NO,YES,0.8314,,0.5,Satish,R0
ram_5.jpg,impostor,0.2242,NO,YES,0.7899,,0.5,Satish,R0
ram_6.jpg,impostor,0.2214,NO,YES,0.8107,,0.5,Satish,R0
ram_7.jpg,impostor,0.2091,NO,YES,0.8314,,0.5,Satish,R0
ram_8.jpg,impostor,0.2201,NO,YES,0.7972,,0.5,Satish,R0
ram_9.jpg,impostor,0.1797,NO,YES,0.7761,,0.5,Satish,R0
satish_10.jpg,genuine,0.8905,YES,YES,0.7965,,0.5,Satish,R0
satish_11.jpg,genuine,0.7075,YES,YES,0.7680,,0.5,Satish,R0
satish_12.jpg,genuine,0.6656,YES,YES,0.7669,,0.5,Satish,R0
satish_13.jpg,genuine,0.6218,YES,YES,0.8184,,0.5,Satish,R0
satish_14.jpg,genuine,0.9175,YES,YES,0.7937,,0.5,Satish,R0
satish_15.jpg,genuine,0.9189,YES,YES,0.8190,,0.5,Satish,R0
satish_2.jpg,genuine,0.9136,YES,YES,0.7527,,0.5,Satish,R0
satish_3.jpg,genuine,0.7316,YES,YES,0.8552,,0.5,Satish,R0
satish_4.jpg,genuine,0.8440,YES,YES,0.7929,,0.5,Satish,R0
satish_5.jpg,genuine,0.5634,YES,YES,0.7791,,0.5,Satish,R0
satish_6.jpg,genuine,0.7463,YES,YES,0.7679,,0.5,Satish,R0
satish_7.jpg,genuine,0.7365,YES,YES,0.7447,,0.5,Satish,R0
satish_8.jpg,genuine,0.6958,YES,YES,0.7275,,0.5,Satish,R0
satish_9.jpg,genuine,0.6273,YES,YES,0.7266,,0.5,Satish,R0
